dateday,year,month,holiday,weekday,workingday,weather_condition,apparent_temperature,total_rentals
2011-08-31,2011,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.055961,5058
2011-09-01,2011,Sept,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,25.211761000000003,5115
2011-09-02,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,24.797128,4727
2011-09-03,2011,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,25.961733000000002,4484
2011-09-04,2011,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.282589,4940
2011-09-05,2011,Sept,Holiday,Monday,Non-Working Day,Misty/Cloudy,25.651486000000002,3351
2011-09-06,2011,Sept,No Holiday,Tuesday,Working Day,Light Rain/Snow,21.1232,2710
2011-09-07,2011,Sept,No Holiday,Wednesday,Working Day,Light Rain/Snow,22.313388999999997,1996
2011-09-08,2011,Sept,No Holiday,Thursday,Working Day,Light Rain/Snow,22.769801,1842
2011-09-09,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,23.736786,3544
2011-09-10,2011,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,24.926442,5345
2011-09-11,2011,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,24.978389,5046
2011-09-12,2011,Sept,No Holiday,Monday,Working Day,Clear/Partly Cloudy,24.687330000000003,4713
2011-09-13,2011,Sept,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.745714000000003,4763
2011-09-14,2011,Sept,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.7029,4785
2011-09-15,2011,Sept,No Holiday,Thursday,Working Day,Misty/Cloudy,22.700511000000002,3659
2011-09-16,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,18.920475,4760
2011-09-17,2011,Sept,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,19.618992,4511
2011-09-18,2011,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,20.112017,4274
2011-09-19,2011,Sept,No Holiday,Monday,Working Day,Misty/Cloudy,21.716675,4539
2011-09-20,2011,Sept,No Holiday,Tuesday,Working Day,Misty/Cloudy,21.820897000000002,3641
2011-09-21,2011,Sept,No Holiday,Wednesday,Working Day,Misty/Cloudy,22.571853,4352
2011-09-22,2011,Sept,No Holiday,Thursday,Working Day,Misty/Cloudy,22.753483,4795
2011-09-23,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,21.407124999999997,2395
2011-09-24,2011,Sept,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,23.140892,5423
2011-09-25,2011,Sept,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,23.478116999999997,5010
2011-09-26,2011,Sept,No Holiday,Monday,Working Day,Misty/Cloudy,24.150722,4630
2011-09-27,2011,Sept,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.555525,4120
2011-09-28,2011,Sept,No Holiday,Wednesday,Working Day,Misty/Cloudy,23.581477999999997,3907
2011-09-29,2011,Sept,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,23.554992000000002,4839
2011-09-30,2011,Sept,No Holiday,Friday,Working Day,Clear/Partly Cloudy,22.337989,5202
2011-10-01,2011,Oct,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,16.927383,2429
2011-10-02,2011,Oct,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,14.157997,2918
2011-10-03,2011,Oct,No Holiday,Monday,Working Day,Misty/Cloudy,16.073886,3570
2011-10-04,2011,Oct,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,19.387178,4456
2011-10-05,2011,Oct,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,21.612658,4826
2011-10-06,2011,Oct,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,19.697425,4765
2011-10-07,2011,Oct,No Holiday,Friday,Working Day,Clear/Partly Cloudy,20.680563999999997,4985
2011-10-08,2011,Oct,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,21.042921999999997,5409
2011-10-09,2011,Oct,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,21.483303,5511
2011-10-10,2011,Oct,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,22.259925,5117
2011-10-11,2011,Oct,No Holiday,Tuesday,Working Day,Misty/Cloudy,22.389936000000002,4563
2011-10-12,2011,Oct,No Holiday,Wednesday,Working Day,Light Rain/Snow,21.226397,2416
2011-10-13,2011,Oct,No Holiday,Thursday,Working Day,Misty/Cloudy,22.623963999999997,2913
2011-10-14,2011,Oct,No Holiday,Friday,Working Day,Misty/Cloudy,21.716675,3644
2011-10-15,2011,Oct,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,20.447725,5217
2011-10-16,2011,Oct,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,20.629314,5041
2011-10-17,2011,Oct,No Holiday,Monday,Working Day,Clear/Partly Cloudy,20.939725,4570
2011-10-18,2011,Oct,No Holiday,Tuesday,Working Day,Misty/Cloudy,21.431561,4748
2011-10-19,2011,Oct,No Holiday,Wednesday,Working Day,Light Rain/Snow,21.067767999999997,2424
2011-10-20,2011,Oct,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,19.127525000000002,4195
2011-10-21,2011,Oct,No Holiday,Friday,Working Day,Clear/Partly Cloudy,17.367435999999998,4304
2011-10-22,2011,Oct,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,17.445172,4308
2011-10-23,2011,Oct,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,17.315653,4381
2011-10-24,2011,Oct,No Holiday,Monday,Working Day,Clear/Partly Cloudy,18.739747,4187
2011-10-25,2011,Oct,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.998375,4687
2011-10-26,2011,Oct,No Holiday,Wednesday,Working Day,Misty/Cloudy,19.386686,3894
2011-10-27,2011,Oct,No Holiday,Thursday,Working Day,Misty/Cloudy,18.738886,2659
2011-10-28,2011,Oct,No Holiday,Friday,Working Day,Misty/Cloudy,13.071292,3747
2011-10-29,2011,Oct,No Holiday,Saturday,Non-Working Day,Light Rain/Snow,9.344433,627
2011-10-30,2011,Oct,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,13.174489,3331
2011-10-31,2011,Oct,No Holiday,Monday,Working Day,Clear/Partly Cloudy,14.598583000000001,3669
2011-11-01,2011,Nov,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.280608,4068
2011-11-02,2011,Nov,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,15.995453,4186
2011-11-03,2011,Nov,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,16.642761,3974
2011-11-04,2011,Nov,No Holiday,Friday,Working Day,Misty/Cloudy,16.539071999999997,4046
2011-11-05,2011,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.278013999999999,3926
2011-11-06,2011,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,14.856678,3649
2011-11-07,2011,Nov,No Holiday,Monday,Working Day,Clear/Partly Cloudy,16.435710999999998,4035
2011-11-08,2011,Nov,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.902086,4205
2011-11-09,2011,Nov,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.772239000000003,4109
2011-11-10,2011,Nov,No Holiday,Thursday,Working Day,Misty/Cloudy,15.322561,2933
2011-11-11,2011,Nov,Holiday,Friday,Non-Working Day,Clear/Partly Cloudy,12.579497,3368
2011-11-12,2011,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,14.675621999999999,4067
2011-11-13,2011,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,17.652549999999998,3717
2011-11-14,2011,Nov,No Holiday,Monday,Working Day,Clear/Partly Cloudy,21.509092,4486
2011-11-15,2011,Nov,No Holiday,Tuesday,Working Day,Misty/Cloudy,20.810739,4195
2011-11-16,2011,Nov,No Holiday,Wednesday,Working Day,Light Rain/Snow,18.531508,1817
2011-11-17,2011,Nov,No Holiday,Thursday,Working Day,Misty/Cloudy,13.252061,3053
2011-11-18,2011,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,11.181561,3392
2011-11-19,2011,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.303803,3663
2011-11-20,2011,Nov,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,18.739378000000002,3520
2011-11-21,2011,Nov,No Holiday,Monday,Working Day,Light Rain/Snow,18.247542,2765
2011-11-22,2011,Nov,No Holiday,Tuesday,Working Day,Light Rain/Snow,17.289536000000002,1607
2011-11-23,2011,Nov,No Holiday,Wednesday,Working Day,Misty/Cloudy,17.652017,2566
2011-11-24,2011,Nov,Holiday,Thursday,Non-Working Day,Clear/Partly Cloudy,15.271311,1495
2011-11-25,2011,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,15.607510999999999,2792
2011-11-26,2011,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,15.788567,3068
2011-11-27,2011,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,18.6878,3071
2011-11-28,2011,Nov,No Holiday,Monday,Working Day,Clear/Partly Cloudy,20.095002,3867
2011-11-29,2011,Nov,No Holiday,Tuesday,Working Day,Misty/Cloudy,18.506375000000002,2914
2011-11-30,2011,Nov,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,12.760061,3613
2011-12-01,2011,Des,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,12.527714,3727
2011-12-02,2011,Des,No Holiday,Friday,Working Day,Clear/Partly Cloudy,13.588752999999999,3940
2011-12-03,2011,Des,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,12.734764,3614
2011-12-04,2011,Des,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,14.3131,3485
2011-12-05,2011,Des,No Holiday,Monday,Working Day,Misty/Cloudy,16.150925,3811
2011-12-06,2011,Des,No Holiday,Tuesday,Working Day,Light Rain/Snow,18.7124,2594
2011-12-07,2011,Des,No Holiday,Wednesday,Working Day,Light Rain/Snow,16.410086,705
2011-12-08,2011,Des,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.534458,3322
2011-12-09,2011,Des,No Holiday,Friday,Working Day,Clear/Partly Cloudy,13.019222,3620
2011-12-10,2011,Des,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,10.922892,3190
2011-12-11,2011,Des,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,10.379313999999999,2743
2011-12-12,2011,Des,No Holiday,Monday,Working Day,Clear/Partly Cloudy,11.078035999999999,3310
2011-12-13,2011,Des,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.346658000000001,3523
2011-12-14,2011,Des,No Holiday,Wednesday,Working Day,Misty/Cloudy,13.872842,3740
2011-12-15,2011,Des,No Holiday,Thursday,Working Day,Misty/Cloudy,16.901717,3709
2011-12-16,2011,Des,No Holiday,Friday,Working Day,Misty/Cloudy,14.752825,3577
2011-12-17,2011,Des,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,10.224211,2739
2011-12-18,2011,Des,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,10.068738999999999,2431
2011-12-19,2011,Des,No Holiday,Monday,Working Day,Clear/Partly Cloudy,11.518253,3403
2011-12-20,2011,Des,No Holiday,Tuesday,Working Day,Misty/Cloudy,16.254614,3750
2011-12-21,2011,Des,No Holiday,Wednesday,Working Day,Misty/Cloudy,17.548697,2660
2011-12-22,2011,Des,No Holiday,Thursday,Working Day,Misty/Cloudy,17.470961000000003,3068
2011-12-23,2011,Des,No Holiday,Friday,Working Day,Clear/Partly Cloudy,15.478033,2209
2011-12-24,2011,Des,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,12.268922,1011
2011-12-25,2011,Des,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,11.478401,754
2011-12-26,2011,Des,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,12.936935,1317
2011-12-27,2011,Des,No Holiday,Tuesday,Working Day,Misty/Cloudy,13.432953,1162
2011-12-28,2011,Des,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,11.478934,2302
2011-12-29,2011,Des,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.819572,2423
2011-12-30,2011,Des,No Holiday,Friday,Working Day,Clear/Partly Cloudy,13.071292,2999
2011-12-31,2011,Des,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,16.978961,2485
2012-01-01,2012,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,15.400461,2294
2012-01-02,2012,Jan,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,10.344463999999999,1951
2012-01-03,2012,Jan,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,5.177275,2236
2012-01-04,2012,Jan,No Holiday,Wednesday,Working Day,Misty/Cloudy,4.892817,2368
2012-01-05,2012,Jan,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,11.414892,3272
2012-01-06,2012,Jan,No Holiday,Friday,Working Day,Clear/Partly Cloudy,13.950947,4098
2012-01-07,2012,Jan,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,16.021939,4521
2012-01-08,2012,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,13.950578,3425
2012-01-09,2012,Jan,No Holiday,Monday,Working Day,Misty/Cloudy,10.146639,2376
2012-01-10,2012,Jan,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,13.071866,3598
2012-01-11,2012,Jan,No Holiday,Wednesday,Working Day,Misty/Cloudy,11.595661,2177
2012-01-12,2012,Jan,No Holiday,Thursday,Working Day,Misty/Cloudy,15.659458,4097
2012-01-13,2012,Jan,No Holiday,Friday,Working Day,Clear/Partly Cloudy,10.223842,3214
2012-01-14,2012,Jan,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,7.506567,2493
2012-01-15,2012,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,6.626625,2311
2012-01-16,2012,Jan,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,7.817183,2298
2012-01-17,2012,Jan,No Holiday,Tuesday,Working Day,Misty/Cloudy,14.935398,2935
2012-01-18,2012,Jan,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,11.285414,3376
2012-01-19,2012,Jan,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,7.791558,3292
2012-01-20,2012,Jan,No Holiday,Friday,Working Day,Misty/Cloudy,9.059277999999999,3163
2012-01-21,2012,Jan,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,7.169875,1301
2012-01-22,2012,Jan,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,6.65225,1977
2012-01-23,2012,Jan,No Holiday,Monday,Working Day,Misty/Cloudy,9.965378,2432
2012-01-24,2012,Jan,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,14.313427999999998,4339
2012-01-25,2012,Jan,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,12.087661,4270
2012-01-26,2012,Jan,No Holiday,Thursday,Working Day,Misty/Cloudy,14.598049999999999,4075
2012-01-27,2012,Jan,No Holiday,Friday,Working Day,Misty/Cloudy,17.030703,3456
2012-01-28,2012,Jan,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.381538999999998,4023
2012-01-29,2012,Jan,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,11.181561,3243
2012-01-30,2012,Jan,No Holiday,Monday,Working Day,Clear/Partly Cloudy,10.767625,3624
2012-01-31,2012,Jan,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,15.633997,4509
2012-02-01,2012,Feb,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,19.128058,4579
2012-02-02,2012,Feb,No Holiday,Thursday,Working Day,Misty/Cloudy,16.357811,3761
2012-02-03,2012,Feb,No Holiday,Friday,Working Day,Clear/Partly Cloudy,12.683186000000001,4151
2012-02-04,2012,Feb,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,11.181725,2832
2012-02-05,2012,Feb,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,10.845361,2947
2012-02-06,2012,Feb,No Holiday,Monday,Working Day,Clear/Partly Cloudy,12.153466000000002,3784
2012-02-07,2012,Feb,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,14.805264,4375
2012-02-08,2012,Feb,No Holiday,Wednesday,Working Day,Misty/Cloudy,10.923261,2802
2012-02-09,2012,Feb,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.741508,3830
2012-02-10,2012,Feb,No Holiday,Friday,Working Day,Misty/Cloudy,12.035878,3831
2012-02-11,2012,Feb,No Holiday,Saturday,Non-Working Day,Light Rain/Snow,8.645547,2169
2012-02-12,2012,Feb,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,4.167978,1529
2012-02-13,2012,Feb,No Holiday,Monday,Working Day,Clear/Partly Cloudy,9.344433,3422
2012-02-14,2012,Feb,No Holiday,Tuesday,Working Day,Misty/Cloudy,13.691786,3922
2012-02-15,2012,Feb,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,14.416789000000001,4169
2012-02-16,2012,Feb,No Holiday,Thursday,Working Day,Misty/Cloudy,13.536642,3005
2012-02-17,2012,Feb,No Holiday,Friday,Working Day,Clear/Partly Cloudy,14.416789000000001,4154
2012-02-18,2012,Feb,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,14.572424999999999,4318
2012-02-19,2012,Feb,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,10.897308,2689
2012-02-20,2012,Feb,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,11.209031,3129
2012-02-21,2012,Feb,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.099633,3777
2012-02-22,2012,Feb,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.099346999999998,4773
2012-02-23,2012,Feb,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.222286,5062
2012-02-24,2012,Feb,No Holiday,Friday,Working Day,Misty/Cloudy,16.849811,3487
2012-02-25,2012,Feb,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,10.482674999999999,2732
2012-02-26,2012,Feb,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,11.000627999999999,3389
2012-02-27,2012,Feb,No Holiday,Monday,Working Day,Clear/Partly Cloudy,14.676114,4322
2012-02-28,2012,Feb,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,14.494525,4363
2012-02-29,2012,Feb,No Holiday,Wednesday,Working Day,Misty/Cloudy,14.28727,1834
2012-03-01,2012,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,19.490211,4990
2012-03-02,2012,March,No Holiday,Friday,Working Day,Misty/Cloudy,14.753522,3194
2012-03-03,2012,March,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,16.953172000000002,4066
2012-03-04,2012,March,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,12.423860999999999,3423
2012-03-05,2012,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,9.888011,3333
2012-03-06,2012,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.456722,3956
2012-03-07,2012,March,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,15.7891,4916
2012-03-08,2012,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.508764,5382
2012-03-09,2012,March,No Holiday,Friday,Working Day,Misty/Cloudy,16.280403,4569
2012-03-10,2012,March,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.388447,4118
2012-03-11,2012,March,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,14.74647,4911
2012-03-12,2012,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,18.843272,5298
2012-03-13,2012,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.260089,5847
2012-03-14,2012,March,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.493297000000002,6312
2012-03-15,2012,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.845825,6192
2012-03-16,2012,March,No Holiday,Friday,Working Day,Misty/Cloudy,17.885389,4378
2012-03-17,2012,March,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,20.706886,7836
2012-03-18,2012,March,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,19.024,5892
2012-03-19,2012,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,21.845661,6153
2012-03-20,2012,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.079853,6093
2012-03-21,2012,March,No Holiday,Wednesday,Working Day,Misty/Cloudy,21.043578,6230
2012-03-22,2012,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.794247000000002,6871
2012-03-23,2012,March,No Holiday,Friday,Working Day,Misty/Cloudy,23.372747,8362
2012-03-24,2012,March,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,19.956053,3372
2012-03-25,2012,March,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,17.937008,4996
2012-03-26,2012,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,17.98875,5558
2012-03-27,2012,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.941813999999999,5102
2012-03-28,2012,March,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,19.30895,5698
2012-03-29,2012,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,19.774464000000002,6133
2012-03-30,2012,March,No Holiday,Friday,Working Day,Misty/Cloudy,15.400461,5459
2012-03-31,2012,March,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,17.290028,6235
2012-04-01,2012,April,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,17.108767,6041
2012-04-02,2012,April,No Holiday,Monday,Working Day,Clear/Partly Cloudy,17.528033,5936
2012-04-03,2012,April,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.920803,6772
2012-04-04,2012,April,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,21.87145,6436
2012-04-05,2012,April,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.677683000000002,6457
2012-04-06,2012,April,No Holiday,Friday,Working Day,Clear/Partly Cloudy,16.021447,6460
2012-04-07,2012,April,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,17.471289,6857
2012-04-08,2012,April,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,20.189425,5169
2012-04-09,2012,April,No Holiday,Monday,Working Day,Clear/Partly Cloudy,19.542158,5585
2012-04-10,2012,April,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,17.885552999999998,5918
2012-04-11,2012,April,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,13.828234,4862
2012-04-12,2012,April,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,15.891764,5409
2012-04-13,2012,April,No Holiday,Friday,Working Day,Clear/Partly Cloudy,17.704128,6398
2012-04-14,2012,April,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,20.007836,7460
2012-04-15,2012,April,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.528875,7132
2012-04-16,2012,April,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,25.211925,6370
2012-04-17,2012,April,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.537967,6691
2012-04-18,2012,April,No Holiday,Wednesday,Working Day,Misty/Cloudy,18.738558,4367
2012-04-19,2012,April,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,20.214886,6565
2012-04-20,2012,April,No Holiday,Friday,Working Day,Clear/Partly Cloudy,21.146774999999998,7290
2012-04-21,2012,April,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,22.259761,6624
2012-04-22,2012,April,No Holiday,Sunday,Non-Working Day,Light Rain/Snow,15.969664,1027
2012-04-23,2012,April,No Holiday,Monday,Working Day,Misty/Cloudy,12.346124999999999,3214
2012-04-24,2012,April,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.616603,5633
2012-04-25,2012,April,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,19.282996999999998,6196
2012-04-26,2012,April,No Holiday,Thursday,Working Day,Misty/Cloudy,19.826902999999998,5026
2012-04-27,2012,April,No Holiday,Friday,Working Day,Clear/Partly Cloudy,18.558117,6233
2012-04-28,2012,April,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,15.477664,4220
2012-04-29,2012,April,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,18.454961,6304
2012-04-30,2012,April,No Holiday,Monday,Working Day,Misty/Cloudy,18.765536,5572
