dateday,year,month,holiday,weekday,workingday,weather_condition,apparent_temperature,total_rentals
2012-05-01,2012,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.657861,5740
2012-05-02,2012,May,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.053736,6169
2012-05-03,2012,May,No Holiday,Thursday,Working Day,Misty/Cloudy,22.026922,6421
2012-05-04,2012,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,24.227597,6296
2012-05-05,2012,May,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,23.968928000000002,6883
2012-05-06,2012,May,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,22.416217,6359
2012-05-07,2012,May,No Holiday,Monday,Working Day,Misty/Cloudy,21.612822,6273
2012-05-08,2012,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,22.856311,5728
2012-05-09,2012,May,No Holiday,Wednesday,Working Day,Misty/Cloudy,22.674025,4717
2012-05-10,2012,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,20.163103,6572
2012-05-11,2012,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,21.354153,7030
2012-05-12,2012,May,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,22.337497,7429
2012-05-13,2012,May,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.994758,6118
2012-05-14,2012,May,No Holiday,Monday,Working Day,Misty/Cloudy,22.545900000000003,2843
2012-05-15,2012,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.632564000000002,5115
2012-05-16,2012,May,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,24.434975,7424
2012-05-17,2012,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,23.477133000000002,7384
2012-05-18,2012,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,22.595961,7639
2012-05-19,2012,May,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,23.243228,8294
2012-05-20,2012,May,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.942647,7129
2012-05-21,2012,May,No Holiday,Monday,Working Day,Misty/Cloudy,23.192347,4359
2012-05-22,2012,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.813825,6073
2012-05-23,2012,May,No Holiday,Wednesday,Working Day,Misty/Cloudy,23.969092,5260
2012-05-24,2012,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,24.8747,6770
2012-05-25,2012,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,25.728689,6734
2012-05-26,2012,May,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.350536,6536
2012-05-27,2012,May,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,26.298425,6591
2012-05-28,2012,May,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,27.851300000000002,6043
2012-05-29,2012,May,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,27.592672,5743
2012-05-30,2012,May,No Holiday,Wednesday,Working Day,Misty/Cloudy,25.056289,6855
2012-05-31,2012,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,25.884489000000002,7338
2012-06-01,2012,June,No Holiday,Friday,Working Day,Misty/Cloudy,24.926442,4127
2012-06-02,2012,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,23.217808,8120
2012-06-03,2012,June,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.580453,7641
2012-06-04,2012,June,No Holiday,Monday,Working Day,Clear/Partly Cloudy,23.709603,6998
2012-06-05,2012,June,No Holiday,Tuesday,Working Day,Misty/Cloudy,21.561572,7001
2012-06-06,2012,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.233972,7055
2012-06-07,2012,June,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,23.347122,7494
2012-06-08,2012,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,24.512342,7736
2012-06-09,2012,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.583047,7498
2012-06-10,2012,June,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.204197,6598
2012-06-11,2012,June,No Holiday,Monday,Working Day,Misty/Cloudy,27.048561,6664
2012-06-12,2012,June,No Holiday,Tuesday,Working Day,Misty/Cloudy,24.512875,4972
2012-06-13,2012,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.055797000000002,7421
2012-06-14,2012,June,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,25.599703,7363
2012-06-15,2012,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,24.589914,7665
2012-06-16,2012,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,24.383028,7702
2012-06-17,2012,June,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.450975,6978
2012-06-18,2012,June,No Holiday,Monday,Working Day,Misty/Cloudy,22.338522,5099
2012-06-19,2012,June,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,26.842372,6825
2012-06-20,2012,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,29.559975,6211
2012-06-21,2012,June,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,30.854222,5905
2012-06-22,2012,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,29.688961,5823
2012-06-23,2012,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.764472,7458
2012-06-24,2012,June,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.644414,6891
2012-06-25,2012,June,No Holiday,Monday,Working Day,Clear/Partly Cloudy,26.815722,6779
2012-06-26,2012,June,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.382864,7442
2012-06-27,2012,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,26.272472,7335
2012-06-28,2012,June,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,27.695992,6879
2012-06-29,2012,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,32.251133,5463
2012-06-30,2012,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,28.187828,5687
2012-07-01,2012,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,30.775789,5531
2012-07-02,2012,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,28.783558000000003,6227
2012-07-03,2012,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.80865,6660
2012-07-04,2012,July,Holiday,Wednesday,Non-Working Day,Clear/Partly Cloudy,30.025817,7403
2012-07-05,2012,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,31.216047,6241
2012-07-06,2012,July,No Holiday,Friday,Working Day,Clear/Partly Cloudy,30.853853,6207
2012-07-07,2012,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,33.001433,4840
2012-07-08,2012,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,32.406236,4672
2012-07-09,2012,July,No Holiday,Monday,Working Day,Misty/Cloudy,26.816214000000002,6569
2012-07-10,2012,July,No Holiday,Tuesday,Working Day,Misty/Cloudy,27.256636000000004,6290
2012-07-11,2012,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,26.661111000000002,7264
2012-07-12,2012,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.842003000000002,7446
2012-07-13,2012,July,No Holiday,Friday,Working Day,Misty/Cloudy,27.385253,7499
2012-07-14,2012,July,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,27.307722000000002,6969
2012-07-15,2012,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,28.913036,6031
2012-07-16,2012,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,29.689125,6830
2012-07-17,2012,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,30.983003,6786
2012-07-18,2012,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,30.568903,5713
2012-07-19,2012,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,29.300322,6591
2012-07-20,2012,July,No Holiday,Friday,Working Day,Misty/Cloudy,25.134025,5870
2012-07-21,2012,July,No Holiday,Saturday,Non-Working Day,Light Rain/Snow,22.546391999999997,4459
2012-07-22,2012,July,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,25.548125000000002,7410
2012-07-23,2012,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,28.290696999999998,6966
2012-07-24,2012,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.96445,7592
2012-07-25,2012,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,26.816214000000002,8173
2012-07-26,2012,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,30.309783,6861
2012-07-27,2012,July,No Holiday,Friday,Working Day,Clear/Partly Cloudy,30.102897,6904
2012-07-28,2012,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,28.601764,6685
2012-07-29,2012,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.385253,6597
2012-07-30,2012,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,28.084467,7105
2012-07-31,2012,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,27.178736,7216
2012-08-01,2012,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,27.359628,7580
2012-08-02,2012,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,28.990608,7261
2012-08-03,2012,Aug,No Holiday,Friday,Working Day,Misty/Cloudy,29.637547,7175
2012-08-04,2012,Aug,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,30.801947000000002,6824
2012-08-05,2012,Aug,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,29.974239,5464
2012-08-06,2012,Aug,No Holiday,Monday,Working Day,Misty/Cloudy,29.120086,7013
2012-08-07,2012,Aug,No Holiday,Tuesday,Working Day,Misty/Cloudy,28.602461,7273
2012-08-08,2012,Aug,No Holiday,Wednesday,Working Day,Misty/Cloudy,29.016397,7534
2012-08-09,2012,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,28.679828,7286
2012-08-10,2012,Aug,No Holiday,Friday,Working Day,Misty/Cloudy,27.385622,5786
2012-08-11,2012,Aug,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,26.168947000000003,6299
2012-08-12,2012,Aug,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,26.427739,6544
2012-08-13,2012,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,27.152414,6883
2012-08-14,2012,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,27.747939000000002,6784
2012-08-15,2012,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,26.815517,7347
2012-08-16,2012,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.842208000000003,7605
2012-08-17,2012,Aug,No Holiday,Friday,Working Day,Clear/Partly Cloudy,9.9384,7148
2012-08-18,2012,Aug,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,25.340911000000002,7865
2012-08-19,2012,Aug,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,24.745714000000003,4549
2012-08-20,2012,Aug,No Holiday,Monday,Working Day,Misty/Cloudy,24.434647000000002,6530
2012-08-21,2012,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.642025,7006
2012-08-22,2012,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.496014000000002,7375
2012-08-23,2012,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.117328,7765
2012-08-24,2012,Aug,No Holiday,Friday,Working Day,Misty/Cloudy,26.531100000000002,7582
2012-08-25,2012,Aug,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,25.366536,6053
2012-08-26,2012,Aug,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,24.435836,5255
2012-08-27,2012,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,26.842208000000003,6917
2012-08-28,2012,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,27.30805,7040
2012-08-29,2012,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,26.065053,7697
2012-08-30,2012,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.763939,7713
2012-08-31,2012,Aug,No Holiday,Friday,Working Day,Clear/Partly Cloudy,28.2654,7350
2012-09-01,2012,Sept,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,28.808814,6140
2012-09-02,2012,Sept,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,26.609,5810
2012-09-03,2012,Sept,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,27.126789000000002,6034
2012-09-04,2012,Sept,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.162408000000003,6864
2012-09-05,2012,Sept,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,29.068303,7112
2012-09-06,2012,Sept,No Holiday,Thursday,Working Day,Misty/Cloudy,26.868489000000004,6203
2012-09-07,2012,Sept,No Holiday,Friday,Working Day,Clear/Partly Cloudy,26.945364,7504
2012-09-08,2012,Sept,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,25.055961,5976
2012-09-09,2012,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.735925,8227
2012-09-10,2012,Sept,No Holiday,Monday,Working Day,Clear/Partly Cloudy,23.191814,7525
2012-09-11,2012,Sept,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.725972,7767
2012-09-12,2012,Sept,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,23.373075,7870
2012-09-13,2012,Sept,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,23.761878,7804
2012-09-14,2012,Sept,No Holiday,Friday,Working Day,Clear/Partly Cloudy,24.357403,8009
2012-09-15,2012,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,24.020547,8714
2012-09-16,2012,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.088124999999998,7333
2012-09-17,2012,Sept,No Holiday,Monday,Working Day,Misty/Cloudy,22.675050000000002,6869
2012-09-18,2012,Sept,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.167747,4073
2012-09-19,2012,Sept,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.156564,7591
2012-09-20,2012,Sept,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.819872,7720
2012-09-21,2012,Sept,No Holiday,Friday,Working Day,Clear/Partly Cloudy,23.450811,8167
2012-09-22,2012,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,25.030008000000002,8395
2012-09-23,2012,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,21.276253,7907
2012-09-24,2012,Sept,No Holiday,Monday,Working Day,Clear/Partly Cloudy,20.603033,7436
2012-09-25,2012,Sept,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.311339,7538
2012-09-26,2012,Sept,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,24.461132999999997,7733
2012-09-27,2012,Sept,No Holiday,Thursday,Working Day,Misty/Cloudy,24.926975000000002,7393
2012-09-28,2012,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,24.020383000000002,7415
2012-09-29,2012,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,21.742136,8555
2012-09-30,2012,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,21.224183,6889
2012-10-01,2012,Oct,No Holiday,Monday,Working Day,Misty/Cloudy,20.992,6778
2012-10-02,2012,Oct,No Holiday,Tuesday,Working Day,Light Rain/Snow,22.235653,4639
2012-10-03,2012,Oct,No Holiday,Wednesday,Working Day,Misty/Cloudy,24.564453,7572
2012-10-04,2012,Oct,No Holiday,Thursday,Working Day,Misty/Cloudy,24.926975000000002,7328
2012-10-05,2012,Oct,No Holiday,Friday,Working Day,Clear/Partly Cloudy,23.787667,8156
2012-10-06,2012,Oct,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,22.079361000000002,7965
2012-10-07,2012,Oct,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,17.212333,3510
2012-10-08,2012,Oct,Holiday,Monday,Non-Working Day,Misty/Cloudy,15.891928,5478
2012-10-09,2012,Oct,No Holiday,Tuesday,Working Day,Misty/Cloudy,17.962592,6392
2012-10-10,2012,Oct,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,20.628822,7691
2012-10-11,2012,Oct,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.677847,7570
2012-10-12,2012,Oct,No Holiday,Friday,Working Day,Clear/Partly Cloudy,17.755910999999998,7282
2012-10-13,2012,Oct,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,16.047236,7109
2012-10-14,2012,Oct,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,20.836364,6639
2012-10-15,2012,Oct,No Holiday,Monday,Working Day,Misty/Cloudy,22.105150000000002,5875
2012-10-16,2012,Oct,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.894686,7534
2012-10-17,2012,Oct,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.454428,7461
2012-10-18,2012,Oct,No Holiday,Thursday,Working Day,Misty/Cloudy,21.017625,7509
2012-10-19,2012,Oct,No Holiday,Friday,Working Day,Misty/Cloudy,22.053736,5424
2012-10-20,2012,Oct,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,19.386522,8090
2012-10-21,2012,Oct,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,18.713589,6824
2012-10-22,2012,Oct,No Holiday,Monday,Working Day,Clear/Partly Cloudy,19.800622,7058
2012-10-23,2012,Oct,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,21.742464,7466
2012-10-24,2012,Oct,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.907561,7693
2012-10-25,2012,Oct,No Holiday,Thursday,Working Day,Misty/Cloudy,21.717208000000003,7359
2012-10-26,2012,Oct,No Holiday,Friday,Working Day,Misty/Cloudy,21.432750000000002,7444
2012-10-27,2012,Oct,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,21.120452999999998,7852
2012-10-28,2012,Oct,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,19.178611,4459
2012-10-29,2012,Oct,No Holiday,Monday,Working Day,Light Rain/Snow,18.0154,22
2012-10-30,2012,Oct,No Holiday,Tuesday,Working Day,Misty/Cloudy,12.706268999999999,1096
2012-10-31,2012,Oct,No Holiday,Wednesday,Working Day,Misty/Cloudy,14.8051,5566
2012-11-01,2012,Nov,No Holiday,Thursday,Working Day,Misty/Cloudy,15.167622,5986
2012-11-02,2012,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,14.597722000000001,5847
2012-11-03,2012,Nov,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,13.277686000000001,5138
2012-11-04,2012,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,13.511058,5107
2012-11-05,2012,Nov,No Holiday,Monday,Working Day,Clear/Partly Cloudy,12.631075,5259
2012-11-06,2012,Nov,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,11.544247,5686
2012-11-07,2012,Nov,No Holiday,Wednesday,Working Day,Misty/Cloudy,11.259461,5035
2012-11-08,2012,Nov,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,14.017531,5315
2012-11-09,2012,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,14.571933,5992
2012-11-10,2012,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,16.151417,6536
2012-11-11,2012,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,17.290233,6852
2012-11-12,2012,Nov,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,19.490703,6269
2012-11-13,2012,Nov,No Holiday,Tuesday,Working Day,Misty/Cloudy,13.252225,4094
2012-11-14,2012,Nov,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,11.544083,5495
2012-11-15,2012,Nov,No Holiday,Thursday,Working Day,Misty/Cloudy,13.304172,5445
2012-11-16,2012,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,14.235364,5698
2012-11-17,2012,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.381703,5629
2012-11-18,2012,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,13.847586,4669
2012-11-19,2012,Nov,No Holiday,Monday,Working Day,Misty/Cloudy,15.400461,5499
2012-11-20,2012,Nov,No Holiday,Tuesday,Working Day,Misty/Cloudy,15.607346999999999,5634
2012-11-21,2012,Nov,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,14.960571999999999,5146
2012-11-22,2012,Nov,Holiday,Thursday,Non-Working Day,Clear/Partly Cloudy,14.365210999999999,2425
2012-11-23,2012,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,15.529938999999999,3910
2012-11-24,2012,Nov,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,10.198421999999999,2277
2012-11-25,2012,Nov,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,10.560903,2424
2012-11-26,2012,Nov,No Holiday,Monday,Working Day,Clear/Partly Cloudy,13.899164,5087
2012-11-27,2012,Nov,No Holiday,Tuesday,Working Day,Misty/Cloudy,11.543878,3959
2012-11-28,2012,Nov,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,11.880242,5260
2012-11-29,2012,Nov,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,12.235302,5323
2012-11-30,2012,Nov,No Holiday,Friday,Working Day,Clear/Partly Cloudy,13.278547000000001,5668
2012-12-01,2012,Des,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,12.993064,5191
2012-12-02,2012,Des,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,14.727528000000001,4649
2012-12-03,2012,Des,No Holiday,Monday,Working Day,Clear/Partly Cloudy,18.687635999999998,6234
2012-12-04,2012,Des,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,19.231214,6606
2012-12-05,2012,Des,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,17.548492,5729
2012-12-06,2012,Des,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.586364,5375
2012-12-07,2012,Des,No Holiday,Friday,Working Day,Misty/Cloudy,13.200278,5008
2012-12-08,2012,Des,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,15.969828000000001,5582
2012-12-09,2012,Des,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,15.995986,3228
2012-12-10,2012,Des,No Holiday,Monday,Working Day,Misty/Cloudy,17.858575,5170
2012-12-11,2012,Des,No Holiday,Tuesday,Working Day,Misty/Cloudy,13.872883000000002,5501
2012-12-12,2012,Des,No Holiday,Wednesday,Working Day,Misty/Cloudy,12.190858,5319
2012-12-13,2012,Des,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,12.061708,5532
2012-12-14,2012,Des,No Holiday,Friday,Working Day,Clear/Partly Cloudy,12.061872000000001,5611
2012-12-15,2012,Des,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.873702999999999,5047
2012-12-16,2012,Des,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,15.167458,3786
2012-12-17,2012,Des,No Holiday,Monday,Working Day,Misty/Cloudy,16.4615,4585
2012-12-18,2012,Des,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.798028000000002,5557
2012-12-19,2012,Des,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,14.028642000000001,5267
2012-12-20,2012,Des,No Holiday,Thursday,Working Day,Misty/Cloudy,13.743896999999999,4128
2012-12-21,2012,Des,No Holiday,Friday,Working Day,Misty/Cloudy,12.372447000000001,3623
2012-12-22,2012,Des,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,9.680633,1749
2012-12-23,2012,Des,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,10.638311,1787
2012-12-24,2012,Des,No Holiday,Monday,Working Day,Misty/Cloudy,10.6149,920
2012-12-25,2012,Des,Holiday,Tuesday,Non-Working Day,Misty/Cloudy,12.073065,1013
2012-12-26,2012,Des,No Holiday,Wednesday,Working Day,Light Rain/Snow,9.033653,441
2012-12-27,2012,Des,No Holiday,Thursday,Working Day,Misty/Cloudy,9.292322,2114
2012-12-28,2012,Des,No Holiday,Friday,Working Day,Misty/Cloudy,10.456885999999999,3095
2012-12-29,2012,Des,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,9.9384,1341
2012-12-30,2012,Des,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,9.499699999999999,1796
2012-12-31,2012,Des,No Holiday,Monday,Working Day,Misty/Cloudy,9.162967,2729
